27-Dec-2023 21:29:02 - num of feature = 2308
27-Dec-2023 21:32:32 - iter: 30/70 time: 1.1661s fit: 0.024676
27-Dec-2023 21:32:34 - iter: 31/70 time: 1.143s fit: 0.02314
27-Dec-2023 21:32:35 - iter: 32/70 time: 1.1656s fit: 0.025382
27-Dec-2023 21:32:36 - iter: 33/70 time: 1.1165s fit: 0.024311
27-Dec-2023 21:32:37 - iter: 34/70 time: 1.1307s fit: 0.025714
27-Dec-2023 21:32:38 - iter: 35/70 time: 1.1271s fit: 0.023435
27-Dec-2023 21:32:39 - iter: 36/70 time: 1.108s fit: 0.024274
27-Dec-2023 21:32:40 - iter: 37/70 time: 1.138s fit: 0.025179
27-Dec-2023 21:32:42 - iter: 38/70 time: 1.1714s fit: 0.024509
27-Dec-2023 21:32:43 - iter: 39/70 time: 1.1529s fit: 0.023388
27-Dec-2023 21:32:44 - iter: 40/70 time: 1.1649s fit: 0.02435
27-Dec-2023 21:32:45 - iter: 41/70 time: 1.1108s fit: 0.025825
27-Dec-2023 21:32:46 - iter: 42/70 time: 1.1467s fit: 0.022672
27-Dec-2023 21:32:47 - iter: 43/70 time: 1.2543s fit: 0.023778
27-Dec-2023 21:32:49 - iter: 44/70 time: 1.212s fit: 0.023414
27-Dec-2023 21:32:50 - iter: 45/70 time: 1.199s fit: 0.022889
27-Dec-2023 21:32:51 - iter: 46/70 time: 1.2072s fit: 0.022775
27-Dec-2023 21:32:52 - iter: 47/70 time: 1.1863s fit: 0.02481
27-Dec-2023 21:32:53 - iter: 48/70 time: 1.1151s fit: 0.020683
27-Dec-2023 21:32:54 - iter: 49/70 time: 1.1332s fit: 0.022993
27-Dec-2023 21:32:56 - iter: 50/70 time: 1.1703s fit: 0.025129
27-Dec-2023 21:32:57 - iter: 51/70 time: 1.1249s fit: 0.025922
27-Dec-2023 21:32:58 - iter: 52/70 time: 1.1558s fit: 0.024259
27-Dec-2023 21:32:59 - iter: 53/70 time: 1.1638s fit: 0.019693
27-Dec-2023 21:33:00 - iter: 54/70 time: 1.1417s fit: 0.021877
27-Dec-2023 21:33:01 - iter: 55/70 time: 1.1407s fit: 0.023722
27-Dec-2023 21:33:02 - iter: 56/70 time: 1.1258s fit: 0.023341
27-Dec-2023 21:33:04 - iter: 57/70 time: 1.1319s fit: 0.020718
27-Dec-2023 21:33:05 - iter: 58/70 time: 1.1453s fit: 0.020291
27-Dec-2023 21:33:06 - iter: 59/70 time: 1.162s fit: 0.022637
27-Dec-2023 21:33:07 - iter: 60/70 time: 1.1217s fit: 0.022749
27-Dec-2023 21:33:08 - iter: 61/70 time: 1.1287s fit: 0.021386
27-Dec-2023 21:33:09 - iter: 62/70 time: 1.1093s fit: 0.0218
27-Dec-2023 21:33:10 - iter: 63/70 time: 1.1233s fit: 0.020287
27-Dec-2023 21:33:12 - iter: 64/70 time: 1.114s fit: 0.021276
27-Dec-2023 21:33:13 - iter: 65/70 time: 1.1164s fit: 0.024016
27-Dec-2023 21:33:14 - iter: 66/70 time: 1.1385s fit: 0.021059
27-Dec-2023 21:33:15 - iter: 67/70 time: 1.1321s fit: 0.022341
27-Dec-2023 21:33:16 - iter: 68/70 time: 1.1452s fit: 0.021822
27-Dec-2023 21:33:17 - iter: 69/70 time: 1.132s fit: 0.024071
27-Dec-2023 21:33:18 - iter: 70/70 time: 1.1353s fit: 0.023014
27-Dec-2023 21:33:21 - round1/1 fold3/10 - time:85.1106s train_acc:1 test_acc:0.79167 size:62
27-Dec-2023 21:33:24 - iter: 1/70 time: 1.3566s fit: 0.11037
27-Dec-2023 21:33:25 - iter: 2/70 time: 1.2723s fit: 0.10376
27-Dec-2023 21:33:26 - iter: 3/70 time: 1.2519s fit: 0.090694
27-Dec-2023 21:33:28 - iter: 4/70 time: 1.1889s fit: 0.087213
27-Dec-2023 21:33:29 - iter: 5/70 time: 1.1719s fit: 0.082217
27-Dec-2023 21:33:30 - iter: 6/70 time: 1.1702s fit: 0.06692
27-Dec-2023 21:33:31 - iter: 7/70 time: 1.1312s fit: 0.062879
27-Dec-2023 21:33:32 - iter: 8/70 time: 1.1298s fit: 0.059272
27-Dec-2023 21:33:33 - iter: 9/70 time: 1.1268s fit: 0.056062
27-Dec-2023 21:33:34 - iter: 10/70 time: 1.1367s fit: 0.054545
27-Dec-2023 21:33:36 - iter: 11/70 time: 1.196s fit: 0.051106
27-Dec-2023 21:33:37 - iter: 12/70 time: 1.1681s fit: 0.052988
27-Dec-2023 21:33:38 - iter: 13/70 time: 1.1876s fit: 0.053995
27-Dec-2023 21:33:39 - iter: 14/70 time: 1.1683s fit: 0.051689
27-Dec-2023 21:33:40 - iter: 15/70 time: 1.1483s fit: 0.048218
27-Dec-2023 21:33:41 - iter: 16/70 time: 1.1496s fit: 0.04629
27-Dec-2023 21:33:43 - iter: 17/70 time: 1.1473s fit: 0.050216
27-Dec-2023 21:33:44 - iter: 18/70 time: 1.1405s fit: 0.049305
27-Dec-2023 21:33:45 - iter: 19/70 time: 1.1581s fit: 0.050026
27-Dec-2023 21:33:46 - iter: 20/70 time: 1.1309s fit: 0.04992
27-Dec-2023 21:33:47 - iter: 21/70 time: 1.1842s fit: 0.0478
27-Dec-2023 21:33:48 - iter: 22/70 time: 1.1563s fit: 0.044502
27-Dec-2023 21:33:50 - iter: 23/70 time: 1.1713s fit: 0.045391
27-Dec-2023 21:33:51 - iter: 24/70 time: 1.1244s fit: 0.044247
27-Dec-2023 21:33:52 - iter: 25/70 time: 1.1191s fit: 0.044516
27-Dec-2023 21:33:53 - iter: 26/70 time: 1.1474s fit: 0.041884
27-Dec-2023 21:33:54 - iter: 27/70 time: 1.1199s fit: 0.039357
27-Dec-2023 21:33:55 - iter: 28/70 time: 1.4044s fit: 0.039798
27-Dec-2023 21:33:57 - iter: 29/70 time: 1.1901s fit: 0.040452
27-Dec-2023 21:33:58 - iter: 30/70 time: 1.1248s fit: 0.041203
27-Dec-2023 21:33:59 - iter: 31/70 time: 1.1415s fit: 0.037601
27-Dec-2023 21:34:00 - iter: 32/70 time: 1.1656s fit: 0.039824
27-Dec-2023 21:34:02 - iter: 33/70 time: 1.4778s fit: 0.038537
27-Dec-2023 21:34:03 - iter: 34/70 time: 1.1518s fit: 0.038186
27-Dec-2023 21:34:04 - iter: 35/70 time: 1.2163s fit: 0.037791
27-Dec-2023 21:34:05 - iter: 36/70 time: 1.1228s fit: 0.037201
27-Dec-2023 21:34:06 - iter: 37/70 time: 1.2208s fit: 0.037232
27-Dec-2023 21:34:07 - iter: 38/70 time: 1.1405s fit: 0.03715
27-Dec-2023 21:34:09 - iter: 39/70 time: 1.1224s fit: 0.037318
27-Dec-2023 21:34:10 - iter: 40/70 time: 1.1212s fit: 0.03505
27-Dec-2023 21:34:11 - iter: 41/70 time: 1.1399s fit: 0.035743
27-Dec-2023 21:34:12 - iter: 42/70 time: 1.1289s fit: 0.035943
27-Dec-2023 21:34:13 - iter: 43/70 time: 1.1344s fit: 0.037845
27-Dec-2023 21:34:14 - iter: 44/70 time: 1.1467s fit: 0.034982
27-Dec-2023 21:34:15 - iter: 45/70 time: 1.1115s fit: 0.035479
27-Dec-2023 21:34:16 - iter: 46/70 time: 1.1335s fit: 0.034607
27-Dec-2023 21:34:18 - iter: 47/70 time: 1.3103s fit: 0.03241
27-Dec-2023 21:34:19 - iter: 48/70 time: 1.1199s fit: 0.03352
27-Dec-2023 21:34:20 - iter: 49/70 time: 1.137s fit: 0.032777
27-Dec-2023 21:34:21 - iter: 50/70 time: 1.1253s fit: 0.034043
27-Dec-2023 21:34:22 - iter: 51/70 time: 1.1114s fit: 0.034425
27-Dec-2023 21:34:23 - iter: 52/70 time: 1.1183s fit: 0.034025
27-Dec-2023 21:34:25 - iter: 53/70 time: 1.1091s fit: 0.035193
27-Dec-2023 21:34:26 - iter: 54/70 time: 1.1641s fit: 0.033083
27-Dec-2023 21:34:27 - iter: 55/70 time: 1.1146s fit: 0.031948
27-Dec-2023 21:34:28 - iter: 56/70 time: 1.121s fit: 0.032419
27-Dec-2023 21:34:29 - iter: 57/70 time: 1.1278s fit: 0.030528
27-Dec-2023 21:34:30 - iter: 58/70 time: 1.1129s fit: 0.033605
27-Dec-2023 21:34:31 - iter: 59/70 time: 1.1272s fit: 0.033361
27-Dec-2023 21:34:32 - iter: 60/70 time: 1.1388s fit: 0.032435
